ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Actual Cost,Annex,value,overun_%
3264,PRISHTINE,Services,"1, 2",22,"Hart.i proj. zbatues per rruges, ures , kanal.prej varrezave deri ne Shkabaj",2010,VIZION PROJEKT,Prishtine,23-Apr-10,"50,000.00","3,460.00",Not Provided,3460,-0.93
3113,PRISHTINE,Services,"1, 2",105,Hartimi I projektit per garazhet montazhe te punktit Prishtina II BZP,2010,PRO ART,Prishtine,25-Aug-10,"3,000.00","1,450.00",Not Provided,1450,-0.52
3099,PRISHTINE,Supply,"1, 2",60,Furnizimi me uniforma verore - pjesa e dyte,2010,EURO TRADE,Prishtine,14-Sep-10,"10,000.00","5,000.00",Not Provided,5000,-0.5
3054,PRISHTINE,Jobs,"1, 2",199,Ndertimi I murit mbrojtes te QMF-ve ne Velani,2010,BAZAMENTI,Ferizaj,8-Nov-10,"10,000.00","5,653.00",Not Provided,5653,-0.43
2993,PRISHTINE,Services,"1, 2",58,"Hartimi I projekteve per rruget ""N.Perlleshi"" dhe ""Xh.Doda""",2010,EN GROUP,Prishtine,31-May-10,"20,000.00","12,360.40",Not Provided,12360.4,-0.38
2994,PRISHTINE,Services,"1, 2",54,"Hartimi I projektit kryesor per rrugen ""V. Fazliu""",2010,SMART PROJEKT,Prishtine,30-Jun-10,"50,000.00","30,900.00",Not Provided,30900,-0.38
2959,PRISHTINE,Supply,"1, 2",55,Furnizimi me telefona mobil per nevojat e Komunes,2010,PRI-MOB,Prishtine,21-Apr-10,"8,000.00","5,200.00",Not Provided,5200,-0.35
2950,PRISHTINE,Services,"1, 2",84,Hartimi I projektit Malush Kosova dhe Holgen Petersen,2010,SMART PROJEKT,Prishtine,1-Jul-10,"10,000.00","6,600.00",Not Provided,6600,-0.34
2868,PRISHTINE,Jobs,"1, 2",74,Rregullimi i lokacionit per ndertimin e ambulances ne Sharban,2010,DKG,Prishtine,31-May-10,"20,000.00","14,355.98",Not Provided,14355.98,-0.28
2846,PRISHTINE,Services,"1, 2",57,"Hartimi I projekteve per rruget ""A.Krasniqi"" dhe ""E. Rexha""",2010,EN GROUP,Prishtine,25-May-10,"20,000.00","14,691.18",Not Provided,14691.18,-0.27
2816,PRISHTINE,Jobs,"1, 2",169,Ndertimi I trafostacionit ne Bardhosh,2010,MONTEN,Prishtine,6-Sep-10,"30,000.00","22,438.00",Not Provided,22438,-0.25
