ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
193,FERIZAJ,Supply,Municipal Budget,3,Furnizimi me produkte medicinale dhe material hargjues medicinal per nevojat e QKMF-se ne Ferizaj.,2014,ATOM MED NTSH,Ferizaj,10-Feb-14,Not Provided,"3,889.00",Not Provided,3889,0
194,KACANIK,Services,Not Provided,KA652/14/001/221,"Sigurimi fizik i objekteve te Administrates Komunale,Qendres Kryesore te Mjekesise Familjare dhe Shtepise se Kultures ,, Xheladin Kurtaj""- Kacanik. Kontrate njevjecare",2014,ALPHA PRIVATE SECURITY SHPK,Prishtine,27-Feb-14,Not Provided,"41,042.90",Not Provided,41042.9,0
195,KACANIK,Supply,Not Provided,KA652/14/02/136,Furnizim me lende djegese thengjill per Administraten Komunale - Kacanik,2014,AJRONI COM NTP,Prishtine,28-Mar-14,Not Provided,"2,248.94",Not Provided,2248.94,0
196,KACANIK,Supply,Not Provided,KA652/14/008/136,"_Furnizim me materijal higjenik per nevojat e SHCK-se, Shkollat , Zjarrfiksave dhe ShendetsineÓ, kontrate njevjeqare",2014,LATI NTP,Kacanik,8-Apr-14,Not Provided,"10,000.00",Not Provided,10000,0
197,FERIZAJ,Supply,Municipal Budget,19,Furnizimi me produkte medicinale dhe material hargjues medicinal per nevojat e QKMF-se ne Ferizaj. LOT-IV- Furnizimi me material per nevojat e stomatologjise,2014,ANDIDENT NTP,Ferizaj,10-Apr-14,Not Provided,"24,491.30",Not Provided,24491.3,0
198,KACANIK,Jobs,Not Provided,KA652/14/004/,Ndrrimi i poqave te ndriqimit publik,2014,ELEKTRA NTSH,Hani I Elezit,14-Apr-14,Not Provided,"5,871.92",Not Provided,5871.92,0
199,KACANIK,Jobs,Not Provided,KA652/14//10/536,Ndertimi I varrezave te veteraneve te U_K-se,2014,GRANITI AR NT,Kacanik,15-Apr-14,Not Provided,"3,600.00",Not Provided,3600,0
200,KACANIK,Services,Not Provided,KA652/14/12/236,Punimi I elaboratit gjeomekanik per ndertimin e palestres sportive- Kacanik,2014,GEOTEST ENGINEERING NSH,Rahovec,16-Apr-14,Not Provided,"9,740.00",Not Provided,9740,0
201,KACANIK,Services,Not Provided,KA652/14/17/236,Mbjellja e drunjeve dekorativ dhe rregullimi I hapsires gjelberuese,2014,QENDRA E FIDANEVE NPT,Kamenice,28-Apr-14,Not Provided,"2,385.00",Not Provided,2385,0
202,KACANIK,Supply,Not Provided,KA652/14/007/121,"Furnizim me materijal harxhues administrativ per Shck-ne, Shkollat, Zjarrfiksat dhe Shendetsine, kontrate njevjeqare",2014,VLORA NTP,Prishtine,2-May-14,Not Provided,"36,000.00",Not Provided,36000,0
203,KACANIK,Sale,Not Provided,KA652/14/13/221,Shitja e asortimenteve drusore,2014,PATI NSHT,Kacanik,12-May-14,Not Provided,"17,929.92",Not Provided,17929.92,0
204,KACANIK,Not Provided,Not Provided,KA652/14/16/236,"Punimi, instalimi dhe trajnimi I stafit per programin e kontabilitetit te Komunes",2014,ABACUS GROUP SHPK,Prishtine,12-May-14,Not Provided,"3,300.00",Not Provided,3300,0
205,FERIZAJ,Supply,Municipal Budget,37,"Furnizim me produkte medicinale dhe material hargjues medicinal per nevojat e QKMF-se ne Ferizaj.
LOT III _ Furnizim me terapi ampullare dhe infuzione per nevojat e QKMF-se-Ferizaj.",2014,AGANI LTD SHPK,Prishtine,16-May-14,Not Provided,"21,188.00",Not Provided,21188,0
206,FERIZAJ,Supply,Municipal Budget,38,"Furnizim me produkte medicinale dhe material hargjues medicinal per nevojat e QKMF-se ne Ferizaj.
LOT -II-: Furnizim me reagensa dhe mate- rial hargjues per laboratoret e QKMF-se.
",2014,ATOM MED NTSH,Ferizaj,16-May-14,Not Provided,"39,791.40",Not Provided,39791.4,0
207,FERIZAJ,Services,Municipal Budget,39,Ankand:Per shitjen e mases drusore (e shtrire) ne ngastrat kadastrale ne Ferizaj.,2014,METI COMERC NPT,Ferizaj,19-May-14,Not Provided,"25,065.13",Not Provided,25065.13,0
208,KACANIK,Services,Not Provided,KA652/14/15/521,Ndertimi I rrjetit te kanalizimit fekal dhe atmosferik ne fshatin Kacanik te vjeter si dhe ndertimi I kanalizimit fekal ne lagjen lekaj te fshatit Doganaj,2014,VIZIONI BD NPSH,Kacanik,29-May-14,Not Provided,"47,684.14",Not Provided,47684.14,0
209,KACANIK,Not Provided,Not Provided,KA652/14/021/521,Asfalltimi i rruges ne f. Semaj F-II-te (Ritenderim),2014,GERLICA COMPANY SHPK,Ferizaj,2-Jun-14,Not Provided,"59,000.50",Not Provided,59000.5,0
210,KACANIK,Jobs,Not Provided,KA652/14/23/536,Ndrrimi I gypit te ujesjellsit kryesor prej ujematesit deri tek rrjeti kryesor ne shtepin e kultures dhe rregullimi I rrjetit te ujesjellsit te Qerdhja e Femive,2014,CIMA NTSH,Kacanik,2-Jun-14,Not Provided,"3,496.20",Not Provided,3496.2,0
211,KACANIK,Jobs,Not Provided,KA652/14/20/521,Asfaltimi I rruges se lagjeve Tron dhe Mezraj te fshatit Kovacec,2014,MURSELI COMPANY SHPK,Kacanik,3-Jun-14,Not Provided,"34,577.72",Not Provided,34577.72,0
212,KACANIK,Jobs,Not Provided,KA652/14/22/521,"Asfaltimi I rruges ne fshatin Gerlic-Prushaj , faza e pare
",2014,GERLICA COMPANY SHPK,Ferizaj,3-Jun-14,Not Provided,"32,000.35",Not Provided,32000.35,0
213,KACANIK,Jobs,Not Provided,KA652/14/19/521,Asfaltimi I rruges ne lagjen selman ne fshatin Doganaj,2014,KEMA COMPANY SHPK,Lipjani,5-Jun-14,Not Provided,"21,823.41",Not Provided,21823.41,0
214,KACANIK,Jobs,Not Provided,KA652/14/25/536,"Sanimi I rrjetit te ujesjellsit per Lagjet : Doganaj , Kolsh , Sheler",2014,MURSELI COMPANY SHPK,Kacanik,6-Jun-14,Not Provided,"9,985.00",Not Provided,9985,0
215,KACANIK,Jobs,Not Provided,KA652/14/009/521,Asfalltimi i rruges ne fshatin Sllatine,2014,P & I NNSH,Kacanik,9-Jun-14,Not Provided,"161,057.05",Not Provided,161057.05,0
216,KACANIK,Supply,Not Provided,KA652/14/23a/136,Furnizim me materijal Stomatologjik per QKMF-ne Kacanik,2014,ANDIDENT NTP,Ferizaj,10-Jun-14,Not Provided,"10,000.00",Not Provided,10000,0
