ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Value,Price,Annex,Total,overun_%,clean_overun_%
1,KACANIK,Services,Unknown,KA652/10/02/236,"Sigurimi I automjeteve te Administr.,QKMF-se Sherb.Zjarrfikesve",2010,PROSING NSH,Kacanik,3-Mar-10,Not Provided,7564.31,Not Provided,7564.31,N/A,Not Applicable
2,KACANIK,Supply,Unknown,KA652/10/03/136,Furnizim me material stomatologjik dhe laboratorik per QKMF-ne-Kacanik,2010,BULI MEDICAL NTP,Prishtine,22-Mar-10,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
3,KACANIK,Supply,Unknown,KA652/10/04/136,Furnizim me perde per katin e trete ne objektin e Administrates Komunale,2010,JETA E RE NTSH,Kacanik,30-Mar-10,Not Provided,1736.29,Not Provided,1736.29,N/A,Not Applicable
4,KACANIK,Services,Unknown,8493/10/06/235,Eleminimi I qeneve Endacak,2010,SHOQATA E GJUETARèVE DRERI ,Kacanik,1-Apr-10,Not Provided,2685,Not Provided,2685,N/A,Not Applicable
5,KACANIK,Services,Unknown,8493/10/06/235,Eleminimi I qeneve Endacak,2010,SHOQATA E GJUETARèVE DRERI ,Kacanik,1-Apr-10,Not Provided,2685,Not Provided,2685,N/A,Not Applicable
6,KACANIK,Supply,Unknown,KA652/10/07/136,Furnizim me Inventar per Shkollat dhe Administraten Komunale,2010,METALI NTP,Viti,6-Apr-10,Not Provided,5235,Not Provided,5235,N/A,Not Applicable
7,KACANIK,Services,Unknown,KA652/10/05/236,Mirembajtja dhe riparimi I Automjeteve,2010,MELSIA NTP,Kacanik,8-Apr-10,Not Provided,10000,Not Provided,10000,N/A,Not Applicable
8,KACANIK,Supply,Unknown,KA652/10/08/136,Furnizim me gyp te ujit per pije per shkollen fillorre Ali Asllani paralelja ne fshatin Koxhaj,2010,NDRIQIMI NT,Kacanik,8-Apr-10,Not Provided,1836,Not Provided,1836,N/A,Not Applicable
9,KACANIK,Services,Unknown,KA652/10/14/236,Vendosja e Bustit te heroit Kombetar Idriz Seferi ne Kacanik,2010,CONSULT ENGENERING NP,Kacanik,15-Apr-10,Not Provided,5922.2,Not Provided,5922.2,N/A,Not Applicable
10,KACANIK,Services,Unknown,KA652/10/09/236,"Punimi I muralit ne shkollkn fillore ""Qamil Ilazi"" te fhsatit Kacanik I Vjeter",2010,P & I NNSH,Kacanik,16-Apr-10,Not Provided,2850.74,Not Provided,2850.74,N/A,Not Applicable
